pattern_id,pattern_type,description,severity,detection_count,last_seen,created_at,feature_vector
SIG-0001,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 1: detected in international channel with medium confidence.,medium,3006,2026-02-09,2024-10-09,"[-1.4565, 0.7444, -0.3979, 1.8015, 0.2849, 0.5426, 0.168, -0.6496, -0.1018, -0.5282, -0.7166, -0.3259, -0.3631, -1.0528, -0.8132, 0.2115, 0.458, -0.9835, -1.3007, -0.2303, -0.8902, 1.0296, 0.6472, 0.5028, 0.3283, -0.6599, -1.6841, 0.0242, 0.5213, -0.6645, -0.0261, 0.0571, -1.4, 1.0503, 2.0391, -1.9777, -1.7441, -0.8043, -1.0785, 1.0234, -1.1024, -0.6078, -0.0282, 0.2904, -0.4544, 0.6297, -0.7932, -0.3804, -1.2227, 1.3277, -1.6861, -1.7202, 0.4477, -1.1003, -0.6396, 1.0981, 0.3973, 0.3307, 0.3669, 0.3468, -2.0038, -1.1461, 0.4078, 1.2239]"
SIG-0002,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 2: detected in international channel with high confidence.,high,1479,2026-02-02,2025-07-15,"[-0.0786, 0.3133, 0.3611, -1.288, 0.1571, -0.711, 0.9468, 0.7773, 0.5664, -1.9141, 0.0558, 0.451, -1.7791, 1.6916, 2.9583, 1.3307, -1.2254, 1.5041, -1.5759, 1.8661, -0.9925, -0.1378, 1.6324, -0.3851, 0.9113, 0.3652, -1.2501, -0.196, 0.9382, -3.0227, -1.6749, -0.3299, 0.7239, -0.8192, 0.9671, 0.4734, 0.6098, 2.1345, -1.2632, -0.3865, 0.0381, -0.6469, -0.9771, 2.3938, -0.648, -0.9718, -1.2398, -1.3046, -0.6163, -1.0674, 0.5148, -0.1712, 2.1429, 0.7813, -0.4254, -1.6201, -0.039, -1.2509, 0.2642, -0.3843, -0.4224, -1.5951, 2.6981, -0.5816]"
SIG-0003,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 3: detected in p2p channel with high confidence.,critical,1420,2026-01-04,2025-06-18,"[1.7338, 0.3337, -0.0022, -0.4022, -1.0353, 2.1067, -0.0546, 0.7235, 0.0434, 0.6007, -0.7645, 0.299, 0.7273, 0.2651, -1.6211, -0.0274, -0.4338, 0.3317, 0.7262, 0.3318, 1.8467, 0.3369, 0.0297, 0.0307, 1.1903, -2.3321, -0.9553, 0.4205, -0.1507, -0.634, 1.9355, -1.1224, -0.4714, 0.5052, -1.5276, -0.8555, 0.6452, 0.7939, -0.9159, -0.2653, -0.2321, -0.5039, 1.7356, -1.2706, 0.3132, 1.0715, 0.8209, 0.2805, -0.3948, 0.555, -0.5218, 0.3481, 1.8985, 0.201, 0.2445, -1.0578, -0.982, -0.3892, -0.5845, -0.4133, -0.098, -0.1351, 0.4103, -0.3116]"
SIG-0004,ip_hopping,Login attempts from multiple IP addresses across different countries in short timeframe. Variant 4: detected in wire channel with medium confidence.,high,2259,2026-01-07,2024-07-11,"[-1.2321, 0.1287, -1.134, 1.0319, -1.7766, -0.0245, 0.6925, -0.0783, 0.3331, -0.338, -0.3415, -0.2366, 0.6153, -0.3612, 0.2868, -1.9499, -2.1166, 1.1125, 0.6823, 0.1339, 0.5601, 0.1261, -1.2655, -0.6837, -0.2782, -0.6388, 0.1836, -2.3486, -0.144, -0.7245, -0.9858, -1.9559, -0.7037, -0.3413, 0.4185, -1.488, 1.4395, 0.0813, 1.1349, 1.8299, -0.3989, 0.0026, 0.2465, -1.071, -0.7012, 0.4778, -0.466, 0.9574, -1.6404, 0.7727, 0.5435, -0.35, 0.0665, 0.1023, 0.8466, 1.3622, -0.9209, -1.8718, 1.703, 1.5145, 0.8436, 2.0846, 0.3894, -0.2179]"
SIG-0005,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 5: detected in retail channel with high confidence.,high,1669,2025-12-18,2024-11-08,"[2.6446, -1.6541, -0.5815, -1.5574, 1.5522, 0.6871, 1.4808, -0.4563, 0.1663, 0.5919, 0.0783, -0.0604, -0.692, 0.1232, -0.141, -0.4595, -0.1366, 0.4703, 0.1937, 0.6502, 1.1163, 1.1554, -0.3908, -1.651, -0.1604, 1.0027, -0.1501, -0.8918, -0.9435, -0.7171, 1.0415, -2.2558, 1.0348, -0.9609, 2.174, 0.463, -0.4894, 0.0423, -0.828, 1.5655, -1.4029, 0.024, -0.8174, 1.7888, 0.5759, 0.81, 0.4296, 0.2619, 1.3305, 0.7037, 0.4313, 1.2561, 0.3828, 0.3533, 0.3521, 0.7031, -0.9437, 1.9854, -1.2725, -1.8361, 0.408, 0.7306, 0.0778, 1.7223]"
SIG-0006,impossible_travel,User login from geographically distant locations within impossible timeframe indicating compromised credentials. Variant 6: detected in international channel with medium confidence.,critical,614,2026-02-15,2024-04-04,"[0.7346, -0.929, -0.4091, 0.0036, -0.011, 1.3151, -1.4309, 0.3978, 0.7056, -0.7528, -0.4191, 0.0336, 0.8602, 0.2546, -3.1625, 0.4122, -0.418, -1.3558, -0.5221, 0.6057, -0.8183, 0.5402, 0.5125, 0.1287, 0.3039, -1.8715, -0.2648, 0.0664, 0.2883, 0.7708, -1.275, -0.2079, -0.6224, -0.1229, -0.567, -1.4609, -0.6183, -0.1734, -0.7387, 0.1795, 0.2828, 0.8554, 0.3599, 0.3368, 1.2008, 1.0094, 1.0247, 1.4576, -1.5017, 0.2654, 0.1958, 0.6039, -0.9142, 0.1054, -0.0676, -1.2897, 2.5526, 0.0284, 1.2788, -0.6082, -1.7404, -0.3531, -0.5425, 0.532]"
SIG-0007,late_night_wire,High-value wire transfers initiated during unusual hours for the account holder timezone. Variant 7: detected in atm channel with medium confidence.,medium,2618,2026-02-06,2024-07-17,"[-0.05, -1.4157, -1.9859, -1.0193, -2.3995, -1.7255, -1.1059, -0.3052, -1.7716, -0.4877, -0.7666, -0.1307, 0.095, -1.2165, -0.6777, -0.5418, -1.3377, -0.3338, -1.4407, 1.5524, -0.894, 0.1132, 0.5572, 0.0212, -1.0763, 0.1082, 0.8, 0.7186, 1.0679, 1.9888, 0.4709, -0.4171, -0.0253, -2.1789, 0.4548, 0.7622, 0.2051, -1.9649, -0.9411, -0.5947, -0.5363, -1.0132, 0.5431, 0.129, 1.2472, -1.11, 0.6879, 0.7651, 0.9674, -0.4863, 0.3989, 1.2572, 1.1701, 1.1365, -0.3662, -0.7082, 1.0255, -1.6495, -0.4574, 0.9341, 0.6088, 0.5322, 0.4731, 0.1391]"
SIG-0008,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 8: detected in p2p channel with medium confidence.,medium,4754,2026-01-19,2025-01-06,"[1.3908, -0.0595, -0.9586, -0.8446, -0.4297, -0.1309, -0.9996, 1.8333, -0.2823, -1.9983, -0.5995, -0.3161, -0.043, -0.8125, 0.7811, -0.6275, 2.3024, -0.0152, 1.4069, -0.1036, 0.3544, -0.7973, -0.6881, -0.1798, -0.1534, 0.2679, -1.0975, -0.2633, 1.4697, 0.7825, -0.3702, -1.5461, -0.7417, 2.6093, 1.2029, 1.8136, 0.2586, -0.7186, -1.7948, 0.1729, 1.3044, 1.8209, 0.4612, -1.3652, 1.0814, 0.6216, -0.7833, -0.9395, -0.303, 1.1525, 0.6831, -0.9403, 1.1755, -0.2817, -0.5047, 0.7437, -0.8168, 0.2455, 0.9662, -0.0854, 0.9891, 0.0407, 0.8871, 1.0246]"
SIG-0009,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 9: detected in atm channel with high confidence.,high,4644,2026-01-22,2024-10-19,"[1.185, -0.9777, 1.2618, 0.9622, -1.1056, 0.7706, -1.2914, -0.0869, -1.0178, -0.5167, -0.3716, 0.2646, 1.6355, 0.3039, -0.7573, -1.3074, -0.7136, -1.7262, -0.1529, 0.07, 1.7635, 0.3045, -0.7, -0.9535, 0.6829, 0.7018, 0.1492, 0.1543, 0.1711, 2.1895, -1.003, 0.2813, -0.416, -0.4855, -1.0762, 0.0505, -0.0929, 0.1483, -0.062, -1.2463, -0.0925, -0.9472, 0.2302, 0.5733, -0.5723, -1.6646, 0.614, 0.1552, 0.9679, 0.3487, -0.1618, 0.0455, -0.5295, 0.142, 0.8947, -0.3308, -1.2406, 0.1282, -0.5233, -0.2181, -0.5966, -1.9461, 1.2015, -0.238]"
SIG-0010,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 10: detected in retail channel with medium confidence.,medium,2442,2026-01-09,2024-06-19,"[-0.1086, 0.5328, -1.0254, 0.1435, -0.6031, 0.6761, 3.2608, -0.1582, -0.8048, -1.4848, 0.2351, 0.0723, 0.2896, -0.8038, 1.1724, -2.9078, -0.8842, -2.2745, -2.9168, 0.7155, -0.4749, -1.0683, 2.2085, 0.7493, -0.0159, -0.5218, -1.0884, 0.9305, -1.8126, -1.9006, 1.5986, 0.164, -1.9367, 0.8157, 0.7757, -0.6568, -1.2011, -1.912, 1.2472, -0.0856, 1.2914, -0.91, 0.5995, -0.4627, -0.5421, 0.9048, 0.7684, 1.8692, 1.2334, -2.6165, 0.517, 1.8829, 0.6839, 0.3848, -0.7333, 0.6002, 0.3432, 0.7513, 1.3525, 0.3464, -0.0907, 0.5869, -0.8593, 0.221]"
